Treasure Values per Encounter
1| 300 gp
100| 1 medium 

7th
01-11| —
12-18| 1d10 × 10,000 cp
19-35| 1d12 × 1,000 sp
36-93| 2d6 × 100 gp
94-100| 3d4 × 10 pp
01-48| —
49-88| 1d4 gems
89-100| 1d4 art
01-51| — 
52-97| 1d3 minor
98-100| 1 medium 

8th
01-10| —
11-15| 1d12 × 10,000 cp
16-29| 2d6 × 1,000 sp
30-87| 2d8 × 100 gp
88-100| 3d6 × 10 pp
01-45| —
46-85| 1d6 gems
86-100| 1d4 art
01-48| —
49-96| 1d4 minor 
97-100| 1 medium 

9th
01-10| —
11-15| 2d6 × 10,000 cp
16-29| 2d8 × 1,000 sp
30-85| 5d4 × 100 gp
86-100| 2d12 × 10 pp
01-40| —
41-80| 1d8 gems
81-100| 1d4 art
01-43| —
44-91| 1d4 minor
92-100| 1 medium

10th
01-10| —
11-24| 2d10 × 1,000 sp
25-79| 6d4 × 100 gp
80-100| 5d6 × 10 pp
01-35| —
36-79| 1d8 gems
80-100| 1d6 art
01-40| — 
41-88| 1d4 minor 
89-99| 1 medium
100| 1 major

11th
01-08| —
09-14|3d10 × 1,000 sp
15-75| 4d8 × 100 gp
76-100| 4d10 × 10 pp
01-24| —
25-74|1d10 gems
75-100| 1d6 art
01-31| — 
32-84| 1d4 minor
85-98| 1 medium
99-100| 1 major

12th
01-08| —
09-14| 3d12 × 1,000 sp
15-75| 1d4 × 1,000 gp
76-100| 1d4 × 100 pp
01-17| —
18-70| 1d10 gems
71-100| 1d8 art
01-27| —
28-82| 1d6 minor 
83-97| 1 medium 
98-100| 1 major

13th
01-08| —
09-75| 1d4 × 1,000 gp
76-100| 1d10 × 100 pp
01-11| —
12-66| 1d12 gems
67-100| 1d10 art
01-19| — 
20-73| 1d6 minor 
74-95| 1 medium
96-100| 1 major

14th
01-08
—
01-11
—
01-19
—

09-75
1d6 × 1,000 gp
12-66
2d8 gems
20-58
1d6 minor

76-100
1d12 × 100 pp
67-100
2d6 art
59-92
1 medium





93-100
1 major







15th
01-03
—
01-09
—
01-11
—

04-74
1d8 × 1,000 gp
10-65
2d10 gems
12-46
1d10 minor

75-100
3d4 × 100 pp
66-100
2d8 art
47-90
1 medium





91-100
1 major







16th
01-03
—
01-07
—
01-40
—

04-74
1d12 × 1,000 gp
08-64
4d6 gems
41-46
1d10 minor

75-100
3d4 × 100 pp
65-100
2d10 art
47-90
1d3 medium





91-100
1 major







17th
01-03
—
01-04
—
01-33
—

04-68
3d4 × 1,000 gp
05-63
4d8 gems
34-83
1d3 medium

69-100
2d10 × 100 pp
64-100
3d8 art
84-100
1 major







18th
01-02
—
01-04
—
01-24
—

03-65
3d6 × 1,000 gp
05-54
3d12 gems
25-80
1d4 medium

66-100
5d4 × 100 pp
55-100
3d10 art
81-100
1 major







19th
01-02
—
01-03
—
01-04
—

03-65
3d8 × 1,000 gp
04-50
6d6 gems
05-70
1d4 medium

66-100
3d10 × 100 pp
51-100
6d6 art
71-100
1 major







20th
01-02
—
01-02
—
01-25
—

03-65
4d8 × 1,000 gp
03-38
4d10 gems
26-65
1d4 medium

66-100
4d10 × 100 pp
39-100
7d6 art
66-100
1d3 major

